adidas,converse,nike
E:\Python\shoes\train\adidas\81.jpg,E:\Python\shoes\train\converse\81.jpg,E:\Python\shoes\train\nike\81.jpg
E:\Python\shoes\train\adidas\82.jpg,E:\Python\shoes\train\converse\82.jpg,E:\Python\shoes\train\nike\82.jpg
E:\Python\shoes\train\adidas\83.jpg,E:\Python\shoes\train\converse\83.jpg,E:\Python\shoes\train\nike\83.jpg
E:\Python\shoes\train\adidas\84.jpg,E:\Python\shoes\train\converse\84.jpg,E:\Python\shoes\train\nike\84.jpg
E:\Python\shoes\train\adidas\85.jpg,E:\Python\shoes\train\converse\85.jpg,E:\Python\shoes\train\nike\85.jpg
E:\Python\shoes\train\adidas\86.jpg,E:\Python\shoes\train\converse\86.jpg,E:\Python\shoes\train\nike\86.jpg
E:\Python\shoes\train\adidas\87.jpg,E:\Python\shoes\train\converse\87.jpg,E:\Python\shoes\train\nike\87.jpg
E:\Python\shoes\train\adidas\88.jpg,E:\Python\shoes\train\converse\88.jpg,E:\Python\shoes\train\nike\88.jpg
E:\Python\shoes\train\adidas\89.jpg,E:\Python\shoes\train\converse\89.jpg,E:\Python\shoes\train\nike\89.jpg
E:\Python\shoes\train\adidas\90.jpg,E:\Python\shoes\train\converse\90.jpg,E:\Python\shoes\train\nike\90.jpg
E:\Python\shoes\train\adidas\91.jpg,E:\Python\shoes\train\converse\91.jpg,E:\Python\shoes\train\nike\91.jpg
E:\Python\shoes\train\adidas\92.jpg,E:\Python\shoes\train\converse\92.jpg,E:\Python\shoes\train\nike\92.jpg
E:\Python\shoes\train\adidas\93.jpg,E:\Python\shoes\train\converse\93.jpg,E:\Python\shoes\train\nike\93.jpg
E:\Python\shoes\train\adidas\94.jpg,E:\Python\shoes\train\converse\94.jpg,E:\Python\shoes\train\nike\94.jpg
E:\Python\shoes\train\adidas\95.jpg,E:\Python\shoes\train\converse\95.jpg,E:\Python\shoes\train\nike\95.jpg
E:\Python\shoes\train\adidas\96.jpg,E:\Python\shoes\train\converse\96.jpg,E:\Python\shoes\train\nike\96.jpg
E:\Python\shoes\train\adidas\97.jpg,E:\Python\shoes\train\converse\97.jpg,E:\Python\shoes\train\nike\97.jpg
E:\Python\shoes\train\adidas\98.jpg,E:\Python\shoes\train\converse\98.jpg,E:\Python\shoes\train\nike\98.jpg
E:\Python\shoes\train\adidas\99.jpg,E:\Python\shoes\train\converse\99.jpg,E:\Python\shoes\train\nike\99.jpg
